train_acc,train_loss,val_acc,val_loss
    0.037,     4.351,  0.083,   0.083
    0.098,     3.889,  0.126,   0.126
    0.132,     3.675,  0.140,   0.140
    0.159,     3.520,  0.176,   0.176
    0.176,     3.398,  0.167,   0.167
    0.195,     3.316,  0.201,   0.201
    0.214,     3.222,  0.231,   0.231
    0.226,     3.156,  0.210,   0.210
    0.239,     3.096,  0.264,   0.264
    0.250,     3.027,  0.259,   0.259
    0.256,     3.002,  0.244,   0.244
    0.263,     2.950,  0.278,   0.278
    0.273,     2.904,  0.270,   0.270
    0.279,     2.889,  0.284,   0.284
    0.289,     2.826,  0.308,   0.308
    0.296,     2.788,  0.278,   0.278
    0.300,     2.762,  0.309,   0.309
    0.311,     2.714,  0.316,   0.316
    0.315,     2.685,  0.294,   0.294
    0.320,     2.647,  0.348,   0.348
    0.332,     2.598,  0.304,   0.304
    0.333,     2.588,  0.335,   0.335
    0.345,     2.540,  0.357,   0.357
    0.351,     2.508,  0.332,   0.332
    0.351,     2.496,  0.367,   0.367
    0.363,     2.438,  0.380,   0.380
    0.363,     2.436,  0.335,   0.335
    0.373,     2.393,  0.387,   0.387
    0.377,     2.359,  0.358,   0.358
    0.377,     2.366,  0.365,   0.365
    0.383,     2.326,  0.394,   0.394
    0.391,     2.298,  0.345,   0.345
    0.393,     2.290,  0.373,   0.373
    0.402,     2.251,  0.401,   0.401
    0.399,     2.252,  0.362,   0.362
    0.407,     2.221,  0.420,   0.420
    0.412,     2.198,  0.376,   0.376
    0.411,     2.199,  0.390,   0.390
    0.418,     2.174,  0.416,   0.416
    0.420,     2.156,  0.363,   0.363
    0.423,     2.151,  0.418,   0.418
    0.427,     2.123,  0.420,   0.420
    0.428,     2.115,  0.391,   0.391
    0.436,     2.095,  0.434,   0.434
    0.437,     2.081,  0.399,   0.399
    0.434,     2.091,  0.407,   0.407
    0.441,     2.068,  0.432,   0.432
    0.446,     2.050,  0.376,   0.376
    0.445,     2.052,  0.426,   0.426
    0.448,     2.026,  0.438,   0.438
    0.450,     2.022,  0.387,   0.387
    0.453,     2.010,  0.446,   0.446
    0.458,     1.991,  0.428,   0.428
    0.455,     1.994,  0.411,   0.411
    0.462,     1.967,  0.460,   0.460
    0.465,     1.956,  0.419,   0.419
    0.460,     1.964,  0.449,   0.449
    0.467,     1.938,  0.462,   0.462
    0.466,     1.944,  0.414,   0.414
    0.473,     1.927,  0.464,   0.464
    0.473,     1.918,  0.430,   0.430
    0.471,     1.915,  0.424,   0.424
    0.477,     1.902,  0.468,   0.468
    0.478,     1.890,  0.431,   0.431
    0.479,     1.893,  0.449,   0.449
    0.486,     1.870,  0.455,   0.455
    0.483,     1.875,  0.415,   0.415
    0.486,     1.861,  0.477,   0.477
    0.489,     1.848,  0.441,   0.441
    0.485,     1.859,  0.432,   0.432
    0.494,     1.829,  0.482,   0.482
    0.497,     1.824,  0.445,   0.445
    0.492,     1.829,  0.463,   0.463
    0.500,     1.808,  0.472,   0.472
    0.498,     1.814,  0.416,   0.416
    0.500,     1.801,  0.472,   0.472
    0.503,     1.790,  0.438,   0.438
    0.500,     1.796,  0.450,   0.450
    0.505,     1.778,  0.482,   0.482
    0.506,     1.773,  0.440,   0.440
    0.505,     1.778,  0.478,   0.478
    0.511,     1.756,  0.480,   0.480
    0.508,     1.761,  0.445,   0.445
    0.510,     1.751,  0.489,   0.489
    0.516,     1.737,  0.471,   0.471
    0.515,     1.740,  0.458,   0.458
    0.518,     1.724,  0.494,   0.494
    0.519,     1.717,  0.432,   0.432
    0.517,     1.724,  0.476,   0.476
    0.526,     1.703,  0.479,   0.479
    0.520,     1.713,  0.448,   0.448
    0.527,     1.695,  0.497,   0.497
    0.525,     1.688,  0.456,   0.456
    0.524,     1.696,  0.480,   0.480
    0.529,     1.679,  0.502,   0.502
    0.531,     1.674,  0.462,   0.462
    0.529,     1.676,  0.494,   0.494
    0.533,     1.665,  0.485,   0.485
    0.528,     1.673,  0.458,   0.458
    0.532,     1.664,  0.504,   0.504
